"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills"
"tree_117" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_118" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_119" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_120" 4005.7632 8319.549 73192.897 376.1 0.694339622641509 -107.689485988588 0.890911859251376 0.0452067774346903 4.00686858393974e-05 2.84303858059221e-85 1.0345538098264e-194 0 1 1 0
"tree_121" 4005.7632 8288.479 73192.897 376.1 0.692452830188679 -106.913853519849 0.891338546516953 0.0453762385113119 7.63286153605194e-05 2.56510838053486e-85 3.19850896619838e-195 0 1 1 0
"tree_122" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_123" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_124" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_125" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_126" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_127" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_128" 4005.7632 8280.149 73192.897 376.1 0.692452830188679 -106.705903134763 0.891452943199356 0.0454218879394562 7.63286153605194e-05 2.49531619033899e-85 2.33347214868735e-195 0 1 1 0
"tree_129" 4005.7632 8296.849 73192.897 376.1 0.694339622641509 -107.122802466207 0.891223600510745 0.045330462203181 4.00686858393974e-05 2.63719666162199e-85 4.38972754503621e-195 0 1 1 0
"tree_130" 4005.7632 8226.949 73192.897 376.1 0.692452830188679 -105.377816641783 0.892183543860079 0.0457156109755877 7.63286153605194e-05 2.09215346763454e-85 3.09562845080711e-196 0 1 1 0
"tree_131" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
